//Exported ASCII-File
[Header]
FileName = xxx
GraphName = xxx
SizeX = 1
SizeY = 1
SizeGraph = 1465
PositionUnit = µm
PositionX = 1602.80000004657
PositionY = -929.099999953434
PositionZ = 0
XAxisUnit = rel. 1/cm
DataUnit = CCD cts

[Data]
X-Axis	90deg (B+R)WT1 (Repaired)
rel. 1/cm	CCD cts
 1.48520E+03	 1.28660E+03
 1.48766E+03	 1.28274E+03
 1.49012E+03	 1.28318E+03
 1.49259E+03	 1.28026E+03
 1.49505E+03	 1.28042E+03
 1.49751E+03	 1.27976E+03
 1.49997E+03	 1.28102E+03
 1.50243E+03	 1.27912E+03
 1.50489E+03	 1.27934E+03
 1.50734E+03	 1.27848E+03
 1.50980E+03	 1.27976E+03
 1.51226E+03	 1.27864E+03
 1.51471E+03	 1.27774E+03
 1.51717E+03	 1.28148E+03
 1.51962E+03	 1.28048E+03
 1.52208E+03	 1.28048E+03
 1.52453E+03	 1.28048E+03
 1.52698E+03	 1.28048E+03
 1.52943E+03	 1.28048E+03
 1.53188E+03	 1.28049E+03
 1.53433E+03	 1.28049E+03
 1.53678E+03	 1.28049E+03
 1.53923E+03	 1.28049E+03
 1.54167E+03	 1.28049E+03
 1.54412E+03	 1.28049E+03
 1.54656E+03	 1.28049E+03
 1.54901E+03	 1.28049E+03
 1.55145E+03	 1.28049E+03
 1.55390E+03	 1.28049E+03
 1.55634E+03	 1.28050E+03
 1.55878E+03	 1.28050E+03
 1.56122E+03	 1.28050E+03
 1.56366E+03	 1.28050E+03
 1.56610E+03	 1.28050E+03
 1.56854E+03	 1.28050E+03
 1.57098E+03	 1.28050E+03
 1.57341E+03	 1.28050E+03
 1.57585E+03	 1.28050E+03
 1.57829E+03	 1.28050E+03
 1.58072E+03	 1.28051E+03
 1.58315E+03	 1.28051E+03
 1.58559E+03	 1.28051E+03
 1.58802E+03	 1.28051E+03
 1.59045E+03	 1.28051E+03
 1.59288E+03	 1.28051E+03
 1.59531E+03	 1.28051E+03
 1.59774E+03	 1.28051E+03
 1.60017E+03	 1.28051E+03
 1.60260E+03	 1.28051E+03
 1.60503E+03	 1.28052E+03
 1.60745E+03	 1.28052E+03
 1.60988E+03	 1.28052E+03
 1.61230E+03	 1.28052E+03
 1.61473E+03	 1.28052E+03
 1.61715E+03	 1.28052E+03
 1.61957E+03	 1.28052E+03
 1.62200E+03	 1.28052E+03
 1.62442E+03	 1.28052E+03
 1.62684E+03	 1.28052E+03
 1.62926E+03	 1.28053E+03
 1.63168E+03	 1.28053E+03
 1.63409E+03	 1.28053E+03
 1.63651E+03	 1.28053E+03
 1.63893E+03	 1.28053E+03
 1.64134E+03	 1.28053E+03
 1.64376E+03	 1.28053E+03
 1.64617E+03	 1.28053E+03
 1.64859E+03	 1.28053E+03
 1.65100E+03	 1.28053E+03
 1.65341E+03	 1.28054E+03
 1.65582E+03	 1.28054E+03
 1.65823E+03	 1.28054E+03
 1.66064E+03	 1.28054E+03
 1.66305E+03	 1.28054E+03
 1.66546E+03	 1.28054E+03
 1.66787E+03	 1.28054E+03
 1.67028E+03	 1.28054E+03
 1.67268E+03	 1.28054E+03
 1.67509E+03	 1.28054E+03
 1.67749E+03	 1.28055E+03
 1.67990E+03	 1.28055E+03
 1.68230E+03	 1.28055E+03
 1.68470E+03	 1.28055E+03
 1.68710E+03	 1.28055E+03
 1.68950E+03	 1.28055E+03
 1.69190E+03	 1.28055E+03
 1.69430E+03	 1.28055E+03
 1.69670E+03	 1.28055E+03
 1.69910E+03	 1.28055E+03
 1.70150E+03	 1.28056E+03
 1.70389E+03	 1.28056E+03
 1.70629E+03	 1.28056E+03
 1.70868E+03	 1.28056E+03
 1.71108E+03	 1.28056E+03
 1.71347E+03	 1.28054E+03
 1.71586E+03	 1.27828E+03
 1.71826E+03	 1.27750E+03
 1.72065E+03	 1.27672E+03
 1.72304E+03	 1.27676E+03
 1.72543E+03	 1.27704E+03
 1.72782E+03	 1.27672E+03
 1.73021E+03	 1.27670E+03
 1.73259E+03	 1.27576E+03
 1.73498E+03	 1.27626E+03
 1.73737E+03	 1.27626E+03
 1.73975E+03	 1.27444E+03
 1.74214E+03	 1.27540E+03
 1.74452E+03	 1.27424E+03
 1.74690E+03	 1.27502E+03
 1.74929E+03	 1.27548E+03
 1.75167E+03	 1.27408E+03
 1.75405E+03	 1.27562E+03
 1.75643E+03	 1.27260E+03
 1.75881E+03	 1.27300E+03
 1.76119E+03	 1.27196E+03
 1.76356E+03	 1.27166E+03
 1.76594E+03	 1.27214E+03
 1.76832E+03	 1.27298E+03
 1.77069E+03	 1.27270E+03
 1.77307E+03	 1.27302E+03
 1.77544E+03	 1.27204E+03
 1.77782E+03	 1.27300E+03
 1.78019E+03	 1.27156E+03
 1.78256E+03	 1.27196E+03
 1.78493E+03	 1.27254E+03
 1.78730E+03	 1.27092E+03
 1.78967E+03	 1.27110E+03
 1.79204E+03	 1.27124E+03
 1.79441E+03	 1.27214E+03
 1.79678E+03	 1.27136E+03
 1.79915E+03	 1.27132E+03
 1.80151E+03	 1.27084E+03
 1.80388E+03	 1.26972E+03
 1.80624E+03	 1.27028E+03
 1.80861E+03	 1.27208E+03
 1.81097E+03	 1.27156E+03
 1.81334E+03	 1.27012E+03
 1.81570E+03	 1.26924E+03
 1.81806E+03	 1.27004E+03
 1.82042E+03	 1.27058E+03
 1.82278E+03	 1.27050E+03
 1.82514E+03	 1.26994E+03
 1.82750E+03	 1.26910E+03
 1.82985E+03	 1.27040E+03
 1.83221E+03	 1.27110E+03
 1.83457E+03	 1.26910E+03
 1.83692E+03	 1.26782E+03
 1.83928E+03	 1.26910E+03
 1.84163E+03	 1.26938E+03
 1.84399E+03	 1.26946E+03
 1.84634E+03	 1.26984E+03
 1.84869E+03	 1.26998E+03
 1.85104E+03	 1.26860E+03
 1.85339E+03	 1.26996E+03
 1.85574E+03	 1.26932E+03
 1.85809E+03	 1.26956E+03
 1.86044E+03	 1.26942E+03
 1.86279E+03	 1.26922E+03
 1.86513E+03	 1.27022E+03
 1.86748E+03	 1.27006E+03
 1.86983E+03	 1.27044E+03
 1.87217E+03	 1.26944E+03
 1.87451E+03	 1.26854E+03
 1.87686E+03	 1.26864E+03
 1.87920E+03	 1.27018E+03
 1.88154E+03	 1.26910E+03
 1.88388E+03	 1.27082E+03
 1.88622E+03	 1.26990E+03
 1.88856E+03	 1.26986E+03
 1.89090E+03	 1.26990E+03
 1.89324E+03	 1.26940E+03
 1.89558E+03	 1.26962E+03
 1.89792E+03	 1.26922E+03
 1.90025E+03	 1.26878E+03
 1.90259E+03	 1.26924E+03
 1.90492E+03	 1.27078E+03
 1.90726E+03	 1.26988E+03
 1.90959E+03	 1.26998E+03
 1.91192E+03	 1.26994E+03
 1.91425E+03	 1.26920E+03
 1.91659E+03	 1.26930E+03
 1.91892E+03	 1.26888E+03
 1.92125E+03	 1.26946E+03
 1.92357E+03	 1.27032E+03
 1.92590E+03	 1.26980E+03
 1.92823E+03	 1.27008E+03
 1.93056E+03	 1.27068E+03
 1.93288E+03	 1.26882E+03
 1.93521E+03	 1.27022E+03
 1.93753E+03	 1.26854E+03
 1.93986E+03	 1.26940E+03
 1.94218E+03	 1.27024E+03
 1.94451E+03	 1.26980E+03
 1.94683E+03	 1.27000E+03
 1.94915E+03	 1.26968E+03
 1.95147E+03	 1.26944E+03
 1.95379E+03	 1.27054E+03
 1.95611E+03	 1.27064E+03
 1.95843E+03	 1.27144E+03
 1.96075E+03	 1.27086E+03
 1.96306E+03	 1.27048E+03
 1.96538E+03	 1.27106E+03
